Handle,Title,Type,Option1 Name,Option1 Value,Metafield: details.grape [list.single_line_text_field],Metafield: details.region1 [single_line_text_field],Metafield: details.color [single_line_text_field],Metafield: details.subregion [single_line_text_field],Metafield: details.producer [single_line_text_field],Metafield: details.points [list.single_line_text_field],Metafield: details.country [single_line_text_field],Metafield: details.vintagenv [single_line_text_field],Metafield: custom.sparkling [single_line_text_field],Metafield: details.body [number_integer],Metafield: details.acid [number_integer],Metafield: details.tannin [number_integer],Metafield: details.classification [single_line_text_field]
antoine-jobard-meursault-en-la-barre-2018,"Antoine Jobard: Meursault, En la Barre 2018",Wine,Size,1.5L,"[""Chardonnay""]",Burgundy,White,Meursault,Antoine Jobard,"[""90-92 points | Vinous"",""89 points | Wine Advocate""]",France,2018,Still,3,4,,
chateau-beaumont-haut-medoc-2018,Chateau Beaumont: Haut-Medoc 2018,Wine,Size,750ml,"[""Cabernet Sauvignon"",""Merlot"",""Cabernet Franc""]",Bordeaux,Red,Haut-Medoc,Beaumont,"[""88-90 points | Wine Advocate""]",France,2018,Still,3,3,3,
chateau-beaumont-haut-medoc-2018,Chateau Beaumont: Haut-Medoc 2018,Wine,Size,1.5L,,,,,,,,,,,,,
alban-vineyards-edna-valley-lorraine-alban-estate-syrah-2012,"Alban Vineyards: Edna Valley, Lorraine Alban Estate Syrah 2012",Wine,Size,1.5L,"[""Syrah""]",California,Red,Edna Valley,Alban Vineyards,"[""95 points | Vinous"",""98 points | Wine Advocate""]",United States,2012,Still,4,3,4,
antoine-jobard-meursault-les-tillets-2018,"Antoine Jobard: Meursault, Les Tillets 2018",Wine,Size,1.5L,"[""Chardonnay""]",Burgundy,White,Meursault,Antoine Jobard,,France,2018,Still,3,4,,
antoine-jobard-meursault-premier-cru-blagny-2018,"Antoine Jobard: Meursault, Premier Cru, Blagny 2018",Wine,Size,1.5L,"[""Chardonnay""]",Burgundy,White,Meursault,Antoine Jobard,,France,2018,Still,3,4,,Premier Cru
benjamin-leroux-meursault-premier-cru-genevrieres-2020,"Benjamin Leroux: Meursault, Premier Cru, Genevrieres 2020",Wine,Size,1.5L,"[""Chardonnay""]",Burgundy,White,Meursault,Benjamin Leroux,"[""91-93 points | Vinous""]",France,2020,Still,3,4,,Premier Cru
antoine-jobard-saint-aubin-premier-cru-sur-le-sentier-du-clou-2016,"Antoine Jobard: Saint-Aubin, Premier Cru, Sur le Sentier du Clou 2016",Wine,Size,1.5L,"[""Chardonnay""]",Burgundy,White,Saint-Aubin,Antoine Jobard,"[""90-92 points | Wine Advocate""]",France,2016,Still,3,4,,Premier Cru
antoine-jobard-saint-aubin-premier-cru-sur-le-sentier-du-clou-2018,"Antoine Jobard: Saint-Aubin, Premier Cru, Sur le Sentier du Clou 2018",Wine,Size,750ml,"[""Chardonnay""]",Burgundy,White,Saint-Aubin,Antoine Jobard,"[""92 points | Wine Advocate""]",France,2018,Still,3,4,,Premier Cru
antoine-jobard-saint-aubin-premier-cru-sur-le-sentier-du-clou-2018,"Antoine Jobard: Saint-Aubin, Premier Cru, Sur le Sentier du Clou 2018",Wine,Size,1.5L,,,,,,,,,,,,,
bernard-levet-cote-rotie-amethyste-2018,"Bernard Levet: Cote Rotie, Amethyste 2018",Wine,Size,1.5L,"[""Syrah""]",Rhone,Red,Cote Rotie,Bernard Levet,,France,2018,Still,4,3,4,
bonneau-vdf-rhone-les-rouliers-nv,"Bonneau: VdF Rhone, Les Rouliers NV",Wine,Size,750ml,"[""Grenache"",""Cinsault""]",Rhone,Red,NA,Bonneau,,France,NV,Still,4,2,3,
bonneau-vdf-rhone-les-rouliers-nv,"Bonneau: VdF Rhone, Les Rouliers NV",Wine,Size,1.5L,,,,,,,,,,,,,
